customer_id,name,email,join_date,region,loyalty_score
C00001,Nichole Sawyer,nichole.sawyer@icloud.com,2018-04-26,Arizona,0.373
C00002,Jennifer Dean,jennifer.dean@gmail.com,2018-04-07,Maine,0.321
C00003,Lisa Hughes,,2018-05-01,Wisconsin,0.007
C00004,Sarah Bailey,sbailey@hotmail.com,2018-08-18,Hawaii,0.307
C00005,Eric Nelson,enelson@gmail.com,2018-07-16,Texas,0.361
C00006,Gary Landry MD,gary_md@hotmail.com,2018-04-25,Mississippi,0.115
C00007,Morgan White,,2018-09-05,Missouri,0.245
C00008,Martin Holmes,,2018-07-07,Mississippi,0.118
C00009,Joshua Mullen,joshua64@yahoo.com,2018-06-30,Mississippi,0.499
C00010,Brenda Quinn,brenda_quinn@hotmail.com,2018-08-10,Oregon,0.149
C00011,Joe Reed,jreed@icloud.com,2018-04-22,Louisiana,0.527
C00012,Lisa Woodward,lisa79@yahoo.com,2018-11-27,Alaska,0.516
C00013,Martin Whitehead,mwhitehead@yahoo.com,2018-04-04,Colorado,0.366
C00014,Donald Maxwell,dmaxwell@icloud.com,2018-08-04,Delaware,0.633
C00015,Christopher Watson,christopher78@gmail.com,2018-07-03,Idaho,0.198
C00016,Christina West,,2018-05-18,New York,0.522
C00017,Christopher Brown,christopher.brown@hotmail.com,2018-02-15,Kansas,0.291
C00018,David Rodgers,david.rodgers@icloud.com,2018-06-18,Georgia,0.058
C00019,Debra Williams DDS,debra_dds@gmail.com,2018-10-01,Washington,0.13
C00020,Jennifer Pollard,jennifer_pollard@yahoo.com,2018-10-20,Alaska,0.164
C00021,Dr. Kyle Stafford,dstafford@icloud.com,2018-05-18,Wisconsin,0.155
C00022,Brandon Harris,brandon.harris@outlook.com,2018-10-31,Maryland,0.259
C00023,Ashley Perkins,aperkins@outlook.com,2018-01-20,North Carolina,0.298
C00024,Olivia Franklin,olivia_franklin@yahoo.com,2018-07-07,South Dakota,0.268
C00025,Carol Johnson,,2018-07-31,Alaska,0.263
C00026,George Brooks,george12@gmail.com,2018-08-15,Oregon,0.007
C00027,Angel Molina,,2018-05-22,Kansas,0.599
C00028,Nancy Stephens,nstephens@yahoo.com,2018-08-25,South Dakota,0.469
C00029,Bobby Carrillo,bobby.carrillo@icloud.com,2018-01-15,Ohio,0.473
C00030,Denise Williams,denise32@gmail.com,2018-03-10,Oregon,0.262
C00031,Julie Chen,,2018-10-29,North Carolina,0.473
C00032,Joshua Cooley,joshua45@yahoo.com,2018-02-10,Florida,0.153
C00033,Meghan Davis,,2018-08-01,Iowa,0.105
C00034,Kristina Burke,kristina_burke@yahoo.com,2018-02-16,Texas,0.414
C00035,Madison Hall,mhall@yahoo.com,2018-01-18,Oklahoma,0.067
C00036,Anthony Castillo,anthony65@outlook.com,2018-02-27,West Virginia,0.496
C00037,Mary Miller,mary6@gmail.com,2018-05-23,New York,0.109
C00038,William Brown,william20@gmail.com,2018-03-02,Wisconsin,0.286
C00039,Timothy Graham,tgraham@yahoo.com,2018-10-19,North Dakota,0.218
C00040,Erik Stewart,erik_stewart@yahoo.com,2018-04-22,Oklahoma,0.136
C00041,Daniel Gonzalez,daniel_gonzalez@icloud.com,2018-09-24,Maine,0.202
C00042,Caleb Evans,,2018-11-20,Oregon,0.264
C00043,Jessica Smith,,2018-10-16,Mississippi,0.098
C00044,Steven Grant,,2018-09-20,North Carolina,0.184
C00045,Howard Thomas,hthomas@hotmail.com,2018-06-16,Georgia,0.272
C00046,William Reyes,wreyes@yahoo.com,2018-04-02,Delaware,0.045
C00047,Sarah Brown,,2018-05-28,West Virginia,0.38
C00048,Glen Miller,glen.miller@outlook.com,2018-09-09,North Dakota,0.318
C00049,David Cole,david27@icloud.com,2018-07-30,Oregon,0.369
C00050,Anthony Nunez,anthony72@outlook.com,2018-01-05,Kentucky,0.083
C00051,Kevin Jimenez,kevin.jimenez@gmail.com,2018-04-09,Kansas,0.372
C00052,Curtis Pacheco,,2018-03-21,New Mexico,0.303
C00053,Anthony Kelly,akelly@outlook.com,2018-06-07,Vermont,0.345
C00054,John Ramos,jramos@gmail.com,2018-09-26,Iowa,0.097
C00055,Shane Castillo,shane_castillo@hotmail.com,2018-09-14,Colorado,0.381
C00056,William Cruz,wcruz@gmail.com,2018-10-18,New York,0.2
C00057,Kelly Williams PhD,kelly_phd@gmail.com,2018-01-22,Colorado,0.3
C00058,Garrett Allen,,2018-09-13,New Jersey,0.231
C00059,Jenna Leonard,jenna.leonard@icloud.com,2018-05-30,Arkansas,0.413
C00060,Billy Walls,,2018-05-21,Mississippi,0.203
C00061,Kevin Leon,kevin.leon@outlook.com,2018-02-08,Utah,0.405
C00062,Mr. Cory Woodard,mr.woodard@hotmail.com,2018-10-30,Virginia,0.297
C00063,Jenna Harvey,,2018-08-10,Kentucky,0.31
C00064,Austin Marquez,austin.marquez@outlook.com,2018-06-07,Hawaii,0.294
C00065,Amy Moore,amy48@gmail.com,2018-12-27,Delaware,0.297
C00066,Chris Smith,chris.smith@gmail.com,2018-03-01,South Dakota,0.478
C00067,Sarah Duran,sarah36@hotmail.com,2018-10-24,Delaware,0.484
C00068,Ashley Gordon,ashley_gordon@hotmail.com,2018-08-08,Vermont,0.091
C00069,Adam Howell,adam.howell@outlook.com,2018-08-14,Massachusetts,0.115
C00070,James Williamson,,2018-04-18,New York,0.096
C00071,Maria Bauer,,2018-11-30,Washington,0.434
C00072,Dr. Lisa Cunningham,dr_cunningham@yahoo.com,2018-11-04,Arkansas,0.249
C00073,Brittany Swanson,brittany68@outlook.com,2018-06-13,South Dakota,0.205
C00074,Michael Alvarez,,2018-10-16,Connecticut,0.433
C00075,Benjamin Robertson,benjamin.robertson@outlook.com,2018-02-03,Idaho,0.085
C00076,James Davidson,james41@gmail.com,2018-02-05,Mississippi,0.626
C00077,Jordan Callahan,jordan_callahan@icloud.com,2018-08-29,Ohio,0.229
C00078,Bonnie Harmon,bonnie.harmon@yahoo.com,2018-07-07,New Hampshire,0.491
C00079,Austin Edwards,austin.edwards@outlook.com,2018-05-07,Wyoming,0.104
C00080,Hannah Rocha,hannah.rocha@gmail.com,2018-03-21,Maine,0.299
C00081,Susan Moore,susan.moore@yahoo.com,2018-08-10,North Carolina,0.177
C00082,Jeffery Smith,jeffery_smith@yahoo.com,2018-08-17,Kansas,0.262
C00083,Kimberly Jackson,kimberly12@gmail.com,2018-09-14,South Carolina,0.452
C00084,Amanda Farley,amanda_farley@yahoo.com,2018-01-25,Alabama,0.194
C00085,Michael Chen,michael.chen@outlook.com,2018-08-31,New York,0.705
C00086,Jorge Brown,,2018-12-27,Rhode Island,0.241
C00087,Douglas Mcdonald,douglas_mcdonald@gmail.com,2018-11-18,Tennessee,0.186
C00088,Lisa Estrada,lisa93@outlook.com,2018-11-08,South Carolina,0.395
C00089,Richard Smith,richard78@yahoo.com,2018-05-08,Connecticut,0.037
C00090,Jennifer Hoffman,jhoffman@outlook.com,2018-04-06,Montana,0.381
C00091,Russell Martinez,russell.martinez@icloud.com,2018-01-04,Rhode Island,0.27
C00092,Mark Norman,mark90@hotmail.com,2018-10-31,New York,0.302
C00093,Brooke Smith,brooke.smith@gmail.com,2018-07-18,Alaska,0.207
C00094,Tara Torres,tara_torres@outlook.com,2018-03-10,Utah,0.178
C00095,Kevin Kramer,kkramer@yahoo.com,2018-04-01,Hawaii,0.06
C00096,Carol Adams,cadams@icloud.com,2018-11-21,Nevada,0.262
C00097,Jeffrey Schmitt,jschmitt@hotmail.com,2018-05-15,Maine,0.49
C00098,Mark Bell,mark4@yahoo.com,2018-08-14,Ohio,0.299
C00099,Carrie Martinez,cmartinez@outlook.com,2018-07-11,Colorado,0.324
C00100,Travis Meyers,travis54@hotmail.com,2018-02-08,Rhode Island,0.213
C00101,Christopher Hall,christopher_hall@hotmail.com,2018-12-16,Illinois,0.258
C00102,Jaime Collins,jaime24@hotmail.com,2018-04-25,Nebraska,0.698
C00103,Judith Wood,,2018-03-26,Idaho,0.283
C00104,Nathan Trevino,nathan59@icloud.com,2018-03-05,Oregon,0.124
C00105,Anna Rose,anna.rose@hotmail.com,2018-12-07,Wisconsin,0.518
C00106,Scott Boone,scott.boone@gmail.com,2018-09-27,Idaho,0.181
C00107,Hannah Johnson,,2018-05-05,Michigan,0.12
C00108,David Stanley,david_stanley@gmail.com,2018-08-16,Missouri,0.379
C00109,Allen Wagner,allen.wagner@icloud.com,2018-06-27,Kansas,0.421
C00110,Billy Lambert,billy76@yahoo.com,2018-09-21,California,0.03
C00111,William Galloway,william_galloway@gmail.com,2018-09-30,Delaware,0.04
C00112,Angel Shaw,angel_shaw@yahoo.com,2018-06-24,Louisiana,0.295
C00113,Jamie Foster,jamie.foster@gmail.com,2018-09-20,New Jersey,0.191
C00114,Ivan Morris,ivan.morris@yahoo.com,2018-06-05,Nevada,0.395
C00115,Jessica Robinson,jessica_robinson@icloud.com,2018-09-19,Vermont,0.104
C00116,Walter Watts,walter.watts@yahoo.com,2018-05-03,Iowa,0.101
C00117,Christine Lucas,,2018-06-13,Colorado,0.058
C00118,Joseph Hall,joseph45@icloud.com,2018-01-20,Maine,0.229
C00119,Christina Blair,,2018-01-09,New Hampshire,0.233
C00120,Mitchell Burke,mitchell65@outlook.com,2018-08-10,Nebraska,0.061
C00121,Elizabeth Walsh,elizabeth.walsh@hotmail.com,2018-05-23,Nebraska,0.199
C00122,Jeremy Love,,2018-08-01,Iowa,0.152
C00123,Sandra Shepherd,,2018-09-18,Mississippi,0.35
C00124,Taylor Vega,taylor.vega@outlook.com,2018-10-04,Kentucky,0.371
C00125,John Adkins,jadkins@gmail.com,2018-06-09,Alaska,0.09
C00126,Jordan Smith,,2018-11-26,Nebraska,0.163
C00127,Sherri Jensen,sherri_jensen@yahoo.com,2018-11-15,Nevada,0.271
C00128,Barbara Bray,barbara50@icloud.com,2018-06-14,South Dakota,0.091
C00129,Seth Snyder,seth_snyder@hotmail.com,2018-12-22,Wyoming,0.385
C00130,Gerald Walters,gerald.walters@hotmail.com,2018-09-23,Kansas,0.402
C00131,Tracey Andrade,tracey14@outlook.com,2018-05-20,Colorado,0.263
C00132,Michael Coleman,michael_coleman@hotmail.com,2018-07-26,Mississippi,0.208
C00133,Raven Williams,raven_williams@gmail.com,2018-03-26,Florida,0.125
C00134,Jacob Holder,jholder@yahoo.com,2018-09-10,Montana,0.481
C00135,Kari Singh,kari75@outlook.com,2018-01-23,Maine,0.634
C00136,James Meadows,james.meadows@hotmail.com,2018-02-06,Utah,0.226
C00137,Daniel Moore,,2018-07-18,Rhode Island,0.193
C00138,Stacey Reed,,2018-07-09,Connecticut,0.216
C00139,John Gallagher,john.gallagher@gmail.com,2018-03-13,Hawaii,0.33
C00140,Joseph Simmons,joseph_simmons@icloud.com,2018-08-07,Iowa,0.433
C00141,Valerie Lawson,vlawson@hotmail.com,2018-04-08,Arkansas,0.173
C00142,Jodi Bryan,jbryan@gmail.com,2018-08-19,North Carolina,0.343
C00143,Rebecca Lopez,rebecca71@gmail.com,2018-04-02,New Jersey,0.351
C00144,Melissa Mitchell,,2018-09-13,Nevada,0.343
C00145,Tiffany Oneill,toneill@yahoo.com,2018-01-09,Delaware,0.318
C00146,Melanie Donaldson,melanie.donaldson@outlook.com,2018-06-03,West Virginia,0.394
C00147,Gregory Powell,,2018-10-10,Minnesota,0.308
C00148,Danny Hughes,danny2@hotmail.com,2018-10-28,West Virginia,0.228
C00149,Mary Bailey,mary.bailey@icloud.com,2018-08-17,Connecticut,0.204
C00150,Wesley Watts,wwatts@icloud.com,2018-07-25,Texas,0.366
C00151,Adrian Thornton,adrian_thornton@icloud.com,2018-09-21,Utah,0.648
C00152,Allison Jones,allison.jones@hotmail.com,2018-10-09,Alaska,0.447
C00153,Sylvia Long,slong@yahoo.com,2018-03-22,Mississippi,0.182
C00154,Mr. Ronnie Wallace,,2018-12-23,Wyoming,0.455
C00155,Tammy Schmidt,tammy.schmidt@gmail.com,2018-01-26,New Jersey,0.199
C00156,Jennifer Parker,,2018-11-02,Michigan,0.55
C00157,Andre Brown,abrown@icloud.com,2018-04-22,Maryland,0.378
C00158,Erika Medina,,2018-03-25,Kentucky,0.109
C00159,Michaela Wilson,michaela_wilson@icloud.com,2018-01-19,Georgia,0.222
C00160,Stacey Donovan,stacey47@yahoo.com,2018-10-19,Wyoming,0.32
C00161,Amanda Murphy,amanda.murphy@gmail.com,2018-12-16,South Carolina,0.345
C00162,Randy Smith,,2018-07-17,Rhode Island,0.314
C00163,Michael Ramirez,michael_ramirez@icloud.com,2018-07-21,Minnesota,0.219
C00164,Christopher Thompson,christopher_thompson@hotmail.com,2018-05-12,New Jersey,0.27
C00165,Joseph Bowman,joseph.bowman@yahoo.com,2018-02-09,Illinois,0.249
C00166,Michael Graves,mgraves@outlook.com,2018-05-11,South Carolina,0.514
C00167,David Hayden,david_hayden@yahoo.com,2018-06-03,Pennsylvania,0.541
C00168,Brittany Diaz,brittany_diaz@yahoo.com,2018-04-14,Arkansas,0.066
C00169,Kristin Greer,kristin_greer@gmail.com,2018-01-27,Iowa,0.026
C00170,April Hodges,april.hodges@yahoo.com,2018-03-10,Rhode Island,0.531
C00171,Daniel Park,daniel44@outlook.com,2018-09-08,New Jersey,0.154
C00172,Debra Wise,debra41@outlook.com,2018-06-17,North Dakota,0.212
C00173,John Lowe,john64@gmail.com,2018-01-31,Illinois,0.558
C00174,Jennifer Ellis,jennifer51@icloud.com,2018-07-12,Colorado,0.579
C00175,Michael Sanchez,michael96@yahoo.com,2018-07-22,Maryland,0.39
C00176,Melissa Arroyo,melissa.arroyo@gmail.com,2018-02-01,Oregon,0.259
C00177,Nancy Warren,nancy.warren@gmail.com,2018-11-29,Ohio,0.33
C00178,Nicole Johnson,njohnson@yahoo.com,2018-09-04,Nevada,0.362
C00179,Sarah Clark,sarah_clark@yahoo.com,2018-02-08,Georgia,0.261
C00180,James Reyes MD,james_md@hotmail.com,2018-11-23,Maryland,0.116
C00181,Christopher Fields,christopher.fields@yahoo.com,2018-06-09,Montana,0.673
C00182,Elizabeth Hunter,ehunter@outlook.com,2018-02-20,Connecticut,0.781
C00183,Vickie Ball,vickie_ball@outlook.com,2018-02-13,Virginia,0.322
C00184,Steven Alexander DDS,steven.dds@outlook.com,2018-07-28,Maryland,0.33
C00185,Stephanie Rodriguez,stephanie9@gmail.com,2018-09-03,Indiana,0.28
C00186,Virginia Rojas,virginia_rojas@gmail.com,2018-08-29,Alabama,0.294
C00187,Lorraine Morris,lorraine78@yahoo.com,2018-04-27,Nevada,0.14
C00188,Dr. Garrett Washington,dr.washington@yahoo.com,2018-04-27,Nebraska,0.057
