customer_id,first_name,last_name,email,phone,street_address,city,state,zip_code,join_date,first_order_date,loyalty_score,email_optin,last_purchase_date
C100000,Neil,Howe,neil_howe@outlook.com,(652) 884-7807,529 Robinson Overpass,Lake Randy,Georgia,00316,2019-10-03 02:11:45,2019-11-20 02:11:45,0.78,True,2021-02-06 21:09:45
C100001,Shawn,Cabrera,scabrera@gmail.com,937-343-9703,8255 Thomas Plaza Apt. 374,Gonzalezborough,Michigan,00489,2019-06-21 17:04:41,2019-06-21 17:04:41,0.89,False,2023-01-25 14:38:40
C100002,Donald,Walker,donald_walker@yahoo.com,(970) 958-5007,85384 Rodriguez Trail Apt. 666,East Thomasmouth,California,00923,2019-08-23 22:50:49,2019-08-23 22:50:49,0.71,True,2019-12-12 06:57:32
C100003,Marissa,Williams,marissa.williams@hotmail.com,306-487-1119,0436 David Valley,Gutierrezbury,Ohio,00433,2022-03-05 22:50:37,2022-05-28 22:50:37,0.29,True,2023-12-13 14:58:36
C100004,Jennifer,Simpson,jsimpson@outlook.com,(299) 467-1084,31268 Pamela Drives Apt. 781,Rhodeston,Texas,00787,2021-06-10 07:09:32,2021-08-07 07:09:32,0.4,True,2022-09-14 10:37:59
C100005,Ronald,Eaton,ronald.eaton@yahoo.com,324-913-1912,4159 Douglas Key,Wilsonbury,Texas,00780,2018-09-27 07:18:16,2018-09-27 07:18:16,0.84,True,2024-12-23 07:50:04
C100006,Brittany,Kidd,,7263332762,5934 Hickman Skyway Apt. 608,South Stephen,Missouri,00646,2018-04-04 13:46:40,2018-04-04 13:46:40,0.91,True,2022-05-07 18:41:10
C100007,Kristen,Gonzalez,,9126347777,2221 Rodriguez Shoal,Timothymouth,Florida,00321,2024-10-02 02:41:29,2024-11-13 02:41:29,0.0,True,2024-11-15 23:16:59
C100008,Kimberly,Ward,,608-732-4718,82712 Tony Summit Suite 563,Greenhaven,Texas,00764,2019-08-12 04:54:18,2019-08-12 04:54:18,0.6,True,2023-09-29 07:20:32
C100009,Victoria,Bush,vbush@yahoo.com,7763611465,5929 Kim Pass Apt. 462,West Christinebury,Nevada,00892,2023-11-06 17:05:58,2023-12-09 17:05:58,0.2,False,2024-01-28 10:18:47
